DateClean,cafe,SubTotal,Items,Proj_Calories,Count,Bottled_LC,Bottled_HC,LC%,TotalSales,DateClean,cafe,Day_of_Week,Week,Treatment,Coupon,Week_of_Qtr,2,3,4,5,1,Cal_p_Dollar
2014-02-05,Stuart,4.734206896551729,1.6448275862068966,345.43338679699167,290,36,43,0.45569620253164556,1372.9200000000014,2014-02-05,Stuart,3,2014_Winter_W4,BL2,0,4,0,1,0,0,0,72.96541835731686
2014-02-06,GCIS,4.25435555555556,1.64,320.3308467519588,225,27,29,0.48214285714285715,957.230000000001,2014-02-06,GCIS,4,2014_Winter_W4,BL2,0,4,0,0,1,0,0,75.29479907565648
2014-02-06,Harris,3.736550218340615,1.445414847161572,262.78649262742783,229,23,26,0.46938775510204084,855.6700000000009,2014-02-06,Harris,4,2014_Winter_W4,BL2,0,4,0,0,1,0,0,70.32863932553545
2014-02-06,Law,3.289261904761916,1.4142857142857144,223.72859596836523,420,63,36,0.6363636363636364,1381.4900000000046,2014-02-06,Law,4,2014_Winter_W4,BL2,0,4,0,0,1,0,0,68.01787222977588
2014-02-06,Stuart,4.608982558139537,1.6337209302325582,331.5509904668097,344,41,45,0.47674418604651164,1585.490000000001,2014-02-06,Stuart,4,2014_Winter_W4,BL2,0,4,0,0,1,0,0,71.9358310179077
2014-02-07,GCIS,4.399196428571432,1.6071428571428572,322.27782668034297,224,30,35,0.46153846153846156,985.4200000000006,2014-02-07,GCIS,5,2014_Winter_W4,BL2,0,4,0,0,0,1,0,73.25833977024698
2014-02-07,Harris,3.543309352517985,1.4244604316546763,249.52294721934538,139,21,20,0.5121951219512195,492.51999999999987,2014-02-07,Harris,5,2014_Winter_W4,BL2,0,4,0,0,0,1,0,70.4208756263482
2014-02-07,Law,3.4522311827957055,1.456989247311828,232.44213409048936,372,60,42,0.5882352941176471,1284.2300000000025,2014-02-07,Law,5,2014_Winter_W4,BL2,0,4,0,0,0,1,0,67.33098734779742
2014-02-07,Stuart,4.769036144578318,1.5963855421686748,321.86734457540564,166,16,22,0.42105263157894735,791.6600000000008,2014-02-07,Stuart,5,2014_Winter_W4,BL2,0,4,0,0,0,1,0,67.49106838733456
2014-02-10,GCIS,4.318778280542989,1.5972850678733033,324.7458624122794,221,20,38,0.3448275862068966,954.4500000000005,2014-02-10,GCIS,1,2014_Winter_W5,BL2,0,5,0,0,0,0,1,75.19391858464425
2014-02-10,Harris,4.095053191489365,1.4840425531914894,280.5939652564429,188,23,26,0.46938775510204084,769.8700000000006,2014-02-10,Harris,1,2014_Winter_W5,BL2,0,5,0,0,0,0,1,68.52022480186425
2014-02-10,Law,3.459554655870453,1.4838056680161944,237.20687376133563,494,86,52,0.6231884057971014,1709.0200000000036,2014-02-10,Law,1,2014_Winter_W5,BL2,0,5,0,0,0,0,1,68.56572517471974
2014-02-10,Stuart,4.639430379746842,1.5601265822784811,349.69470060941376,316,33,44,0.42857142857142855,1466.060000000002,2014-02-10,Stuart,1,2014_Winter_W5,BL2,0,5,0,0,0,0,1,75.37449039778357
2014-02-11,GCIS,4.22569444444445,1.5,333.2856325533672,216,22,26,0.4583333333333333,912.7500000000011,2014-02-11,GCIS,2,2014_Winter_W5,BL2,0,5,1,0,0,0,0,78.8712096757351
2014-02-11,Harris,3.421569506726461,1.4080717488789238,239.43103640102657,223,19,25,0.4318181818181818,763.0100000000008,2014-02-11,Harris,2,2014_Winter_W5,BL2,0,5,1,0,0,0,0,69.97696113737548
2014-02-11,Law,3.315755813953497,1.4728682170542635,245.47657858112834,516,91,38,0.7054263565891473,1710.9300000000044,2014-02-11,Law,2,2014_Winter_W5,BL2,0,5,1,0,0,0,0,74.03337047562547
2014-02-11,Stuart,4.541375358166192,1.6131805157593124,326.93800045138096,349,37,55,0.40217391304347827,1584.940000000001,2014-02-11,Stuart,2,2014_Winter_W5,BL2,0,5,1,0,0,0,0,71.9909663189344
2014-02-12,GCIS,4.592389380530979,1.584070796460177,342.1315861748135,226,32,27,0.5423728813559322,1037.8800000000012,2014-02-12,GCIS,3,2014_Winter_W5,BL2,0,5,0,1,0,0,0,74.49969021034008
2014-02-12,Harris,3.9559776536312867,1.5251396648044693,268.1588326737332,179,19,23,0.4523809523809524,708.1200000000003,2014-02-12,Harris,3,2014_Winter_W5,BL2,0,5,0,1,0,0,0,67.78572988843447
2014-02-12,Law,3.328294117647065,1.4176470588235295,224.6294184502069,340,79,33,0.7053571428571429,1131.6200000000022,2014-02-12,Law,3,2014_Winter_W5,BL2,0,5,0,1,0,0,0,67.49085582887383
2014-02-12,Stuart,4.490072727272732,1.549090909090909,320.046228264584,275,32,35,0.47761194029850745,1234.7700000000013,2014-02-12,Stuart,3,2014_Winter_W5,BL2,0,5,0,1,0,0,0,71.27862903436308
2014-02-13,GCIS,4.3428099173553765,1.5826446280991735,333.56703292222124,242,25,25,0.5,1050.9600000000012,2014-02-13,GCIS,4,2014_Winter_W5,BL2,0,5,0,0,1,0,0,76.80903361419793
2014-02-13,Harris,3.5107211538461565,1.4086538461538463,231.8569761747625,208,21,21,0.5,730.2300000000006,2014-02-13,Harris,4,2014_Winter_W5,BL2,0,5,0,0,1,0,0,66.04254966839292
2014-02-13,Law,3.311647331786549,1.445475638051044,221.573944944378,431,78,45,0.6341463414634146,1427.3200000000027,2014-02-13,Law,4,2014_Winter_W5,BL2,0,5,0,0,1,0,0,66.90747013355572
2014-02-13,Stuart,4.691304347826091,1.6120401337792643,324.3906701723389,299,24,48,0.3333333333333333,1402.7000000000012,2014-02-13,Stuart,4,2014_Winter_W5,BL2,0,5,0,0,1,0,0,69.14722348437246
2014-02-14,GCIS,4.26946859903382,1.5314009661835748,321.7879580052728,207,22,24,0.4782608695652174,883.7800000000007,2014-02-14,GCIS,5,2014_Winter_W5,BL2,0,5,0,0,0,1,0,75.36955725077668
2014-02-14,Harris,3.882842105263159,1.4631578947368422,248.31684861709,95,9,14,0.391304347826087,368.8700000000001,2014-02-14,Harris,5,2014_Winter_W5,BL2,0,5,0,0,0,1,0,63.95234261019747
2014-02-14,Law,2.9726785714285704,1.5357142857142858,185.342016712924,56,10,8,0.5555555555555556,166.46999999999994,2014-02-14,Law,5,2014_Winter_W5,BL2,0,5,0,0,0,1,0,62.34848883236467
2014-02-14,Stuart,4.00825,1.5875,287.4178449821006,80,11,9,0.55,320.66,2014-02-14,Stuart,5,2014_Winter_W5,BL2,0,5,0,0,0,1,0,71.70656645221744
2014-02-17,GCIS,4.524298245614039,1.5789473684210527,336.1546651563751,228,26,29,0.4727272727272727,1031.5400000000009,2014-02-17,GCIS,1,2014_Winter_W6,BL2,0,6,0,0,0,0,1,74.29984649713384
2014-02-17,Harris,3.979731182795701,1.478494623655914,283.95737732355343,186,23,23,0.5,740.2300000000004,2014-02-17,Harris,1,2014_Winter_W6,BL2,0,6,0,0,0,0,1,71.35089388727951
2014-02-17,Law,3.1761961722488117,1.3779904306220097,216.7933336998112,418,60,30,0.6666666666666666,1327.6500000000033,2014-02-17,Law,1,2014_Winter_W6,BL2,0,6,0,0,0,0,1,68.25564982225802
2014-02-17,Stuart,4.7468670886076,1.6487341772151898,368.2258919838863,316,35,44,0.4430379746835443,1500.0100000000018,2014-02-17,Stuart,1,2014_Winter_W6,BL2,0,6,0,0,0,0,1,77.57240409524466
2014-02-18,GCIS,4.660543478260873,1.690217391304348,350.44747132045507,184,15,43,0.25862068965517243,857.5400000000006,2014-02-18,GCIS,2,2014_Winter_W6,BL2,0,6,1,0,0,0,0,75.19455036845358
2014-02-18,Harris,3.482009132420097,1.3972602739726028,225.20138085556616,219,32,24,0.5714285714285714,762.5600000000012,2014-02-18,Harris,2,2014_Winter_W6,BL2,0,6,1,0,0,0,0,64.6757008069777
2014-02-18,Law,3.1264444444444526,1.42,227.90753633383846,450,83,41,0.6693548387096774,1406.9000000000037,2014-02-18,Law,2,2014_Winter_W6,BL2,0,6,1,0,0,0,0,72.896717144237
2014-02-18,Stuart,4.399317507418405,1.6172106824925816,304.8701344918225,337,40,52,0.43478260869565216,1482.5700000000024,2014-02-18,Stuart,2,2014_Winter_W6,BL2,0,6,1,0,0,0,0,69.29941609754954
2014-02-19,GCIS,4.395909090909097,1.6198347107438016,326.57638795631004,242,32,39,0.4507042253521127,1063.8100000000013,2014-02-19,GCIS,3,2014_Winter_W6,BL2,0,6,0,1,0,0,0,74.29097854450224
2014-02-19,Harris,3.381406250000003,1.5052083333333333,220.01611675549398,192,30,24,0.5555555555555556,649.2300000000006,2014-02-19,Harris,3,2014_Winter_W6,BL2,0,6,0,1,0,0,0,65.06645474955687
2014-02-19,Law,3.1458988764045017,1.4185393258426966,204.39795148612833,356,92,43,0.6814814814814815,1119.9400000000026,2014-02-19,Law,3,2014_Winter_W6,BL2,0,6,0,1,0,0,0,64.97282955253095
2014-02-19,Stuart,4.530766961651923,1.5545722713864307,337.77989557197014,339,37,74,0.3333333333333333,1535.9300000000019,2014-02-19,Stuart,3,2014_Winter_W6,BL2,0,6,0,1,0,0,0,74.55247608868746
2014-02-20,GCIS,4.794266055045878,1.628440366972477,378.5364308550035,218,26,33,0.4406779661016949,1045.1500000000015,2014-02-20,GCIS,4,2014_Winter_W6,BL2,0,6,0,0,1,0,0,78.95607513408663
2014-02-20,Harris,3.304218009478678,1.4265402843601895,226.53663447501768,211,30,26,0.5357142857142857,697.1900000000011,2014-02-20,Harris,4,2014_Winter_W6,BL2,0,6,0,0,1,0,0,68.55983286367943
2014-02-20,Law,3.0350235849056677,1.4481132075471699,203.27079532908613,424,72,38,0.6545454545454545,1286.850000000003,2014-02-20,Law,4,2014_Winter_W6,BL2,0,6,0,0,1,0,0,66.97502989434068
2014-02-20,Stuart,4.731895043731786,1.6034985422740524,320.91573325049404,343,47,49,0.4895833333333333,1623.0400000000025,2014-02-20,Stuart,4,2014_Winter_W6,BL2,0,6,0,0,1,0,0,67.8197065413787
2014-02-21,GCIS,4.265641025641028,1.5435897435897437,311.3728525989117,195,21,33,0.3888888888888889,831.8000000000005,2014-02-21,GCIS,5,2014_Winter_W6,BL2,0,6,0,0,0,1,0,72.99555933732597
2014-02-21,Harris,4.024830508474575,1.5423728813559323,258.3833195450775,118,23,9,0.71875,474.92999999999984,2014-02-21,Harris,5,2014_Winter_W6,BL2,0,6,0,0,0,1,0,64.19731688105438
