DateClean,cafe,SubTotal,Items,Proj_Calories,Count,Bottled_LC,Bottled_HC,LC%,TotalSales,Day_of_Week,Week,Treatment,Coupon,Week_of_Qtr,2,3,4,5,1,Cal_p_Dollar
10/29/14,Law,3.67,1.41,241.80,374,47,25,65.28%,1373.78,3,2014_Fall_W4,BL1,0,4,0,1,0,0,0,65.83
10/29/14,Stuart,5.08,1.53,362.86,202,5,13,27.78%,1026.43,3,2014_Fall_W4,BL1,0,4,0,1,0,0,0,71.41
10/30/14,GCIS,4.44,1.53,319.19,215,4,24,14.29%,954.12,4,2014_Fall_W4,BL1,0,4,0,0,1,0,0,71.93
10/30/14,Harris,3.80,1.40,273.92,227,1,7,12.50%,862.43,4,2014_Fall_W4,BL1,0,4,0,0,1,0,0,72.10
10/30/14,Law,3.39,1.34,217.93,425,39,19,67.24%,1440.24,4,2014_Fall_W4,BL1,0,4,0,0,1,0,0,64.31
10/30/14,Stuart,4.36,1.54,314.02,217,8,25,24.24%,946.33,4,2014_Fall_W4,BL1,0,4,0,0,1,0,0,72.01
10/31/14,GCIS,4.88,1.62,349.64,221,11,18,37.93%,1079.53,5,2014_Fall_W4,BL1,0,4,0,0,0,1,0,71.58
10/31/14,Harris,4.33,1.39,308.77,87,2,3,40.00%,376.65,5,2014_Fall_W4,BL1,0,4,0,0,0,1,0,71.32
10/31/14,Law,3.65,1.37,235.37,240,23,9,71.88%,876.04,5,2014_Fall_W4,BL1,0,4,0,0,0,1,0,64.48
10/31/14,Stuart,5.16,1.63,352.06,86,3,5,37.50%,444.05,5,2014_Fall_W4,BL1,0,4,0,0,0,1,0,68.18
11/3/14,GCIS,4.30,1.57,302.21,187,14,21,40.00%,804.66,1,2014_Fall_W5,BL1,0,5,0,0,0,0,1,70.23
11/3/14,Harris,4.11,1.44,294.57,146,4,7,36.36%,599.86,1,2014_Fall_W5,BL1,0,5,0,0,0,0,1,71.70
11/3/14,Law,3.33,1.40,219.24,514,62,25,71.26%,1711.02,1,2014_Fall_W5,BL1,0,5,0,0,0,0,1,65.86
11/3/14,Stuart,4.32,1.44,319.23,157,1,8,11.11%,678.16,1,2014_Fall_W5,BL1,0,5,0,0,0,0,1,73.90
11/4/14,GCIS,4.51,1.60,317.91,235,15,26,36.59%,1059.97,2,2014_Fall_W5,BL1,0,5,1,0,0,0,0,70.48
11/4/14,Harris,3.67,1.42,268.32,168,0,9,0.00%,616.93,2,2014_Fall_W5,BL1,0,5,1,0,0,0,0,73.07
11/4/14,Law,3.40,1.34,227.58,361,31,17,64.58%,1228.22,2,2014_Fall_W5,BL1,0,5,1,0,0,0,0,66.89
11/4/14,Stuart,4.84,1.54,344.34,206,6,18,25.00%,997.97,2,2014_Fall_W5,BL1,0,5,1,0,0,0,0,71.08
11/5/14,GCIS,4.67,1.54,325.59,225,15,28,34.88%,1049.69,3,2014_Fall_W5,BL1,0,5,0,1,0,0,0,69.79
11/5/14,Harris,3.43,1.41,271.53,39,0,2,0.00%,133.82,3,2014_Fall_W5,BL1,0,5,0,1,0,0,0,79.13
11/5/14,Law,3.42,1.33,216.95,394,64,21,75.29%,1346.55,3,2014_Fall_W5,BL1,0,5,0,1,0,0,0,63.48
11/5/14,Stuart,4.74,1.47,327.77,166,1,12,7.69%,786.99,3,2014_Fall_W5,BL1,0,5,0,1,0,0,0,69.14
11/6/14,GCIS,4.75,1.59,343.41,239,7,25,21.88%,1134.27,4,2014_Fall_W5,BL1,0,5,0,0,1,0,0,72.36
11/6/14,Harris,3.63,1.47,247.65,182,1,6,14.29%,660.42,4,2014_Fall_W5,BL1,0,5,0,0,1,0,0,68.25
11/6/14,Law,3.20,1.31,203.27,412,33,18,64.71%,1317.09,4,2014_Fall_W5,BL1,0,5,0,0,1,0,0,63.58
11/6/14,Stuart,4.57,1.54,324.32,221,6,20,23.08%,1010.43,4,2014_Fall_W5,BL1,0,5,0,0,1,0,0,70.93
11/7/14,GCIS,4.53,1.55,325.55,216,7,23,23.33%,977.44,5,2014_Fall_W5,BL1,0,5,0,0,0,1,0,71.94
11/7/14,Harris,4.38,1.65,335.91,79,0,12,0.00%,345.97,5,2014_Fall_W5,BL1,0,5,0,0,0,1,0,76.70
11/7/14,Law,3.57,1.29,235.09,274,22,17,56.41%,978.14,5,2014_Fall_W5,BL1,0,5,0,0,0,1,0,65.85
11/7/14,Stuart,4.37,1.47,307.96,100,2,9,18.18%,436.97,5,2014_Fall_W5,BL1,0,5,0,0,0,1,0,70.48
11/10/14,GCIS,4.46,1.54,303.15,251,7,40,14.89%,1118.29,1,2014_Fall_W6,BL1,0,6,0,0,0,0,1,68.04
11/10/14,Harris,3.84,1.42,270.62,149,3,11,21.43%,571.51,1,2014_Fall_W6,BL1,0,6,0,0,0,0,1,70.55
11/10/14,Law,3.19,1.30,194.54,459,54,37,59.34%,1462.32,1,2014_Fall_W6,BL1,0,6,0,0,0,0,1,61.06
11/10/14,Stuart,4.63,1.45,336.82,156,7,18,28.00%,722.71,1,2014_Fall_W6,BL1,0,6,0,0,0,0,1,72.70
11/11/14,GCIS,4.17,1.49,301.25,245,7,28,20.00%,1022.12,2,2014_Fall_W6,BL1,0,6,1,0,0,0,0,72.21
11/11/14,Harris,3.68,1.44,251.30,222,0,6,0.00%,817.44,2,2014_Fall_W6,BL1,0,6,1,0,0,0,0,68.25
11/11/14,Law,3.17,1.33,199.46,379,49,19,72.06%,1199.83,2,2014_Fall_W6,BL1,0,6,1,0,0,0,0,63.00
11/11/14,Stuart,4.49,1.52,307.36,240,20,25,44.44%,1076.78,2,2014_Fall_W6,BL1,0,6,1,0,0,0,0,68.51
11/12/14,GCIS,4.60,1.59,323.96,218,7,21,25.00%,1002.91,3,2014_Fall_W6,BL1,0,6,0,1,0,0,0,70.42
11/12/14,Harris,4.13,1.46,291.32,139,0,2,0.00%,573.52,3,2014_Fall_W6,BL1,0,6,0,1,0,0,0,70.60
11/12/14,Law,3.50,1.36,219.80,343,54,29,65.06%,1201.57,3,2014_Fall_W6,BL1,0,6,0,1,0,0,0,62.74
11/12/14,Stuart,4.78,1.55,351.19,157,0,16,0.00%,750.62,3,2014_Fall_W6,BL1,0,6,0,1,0,0,0,73.46
11/13/14,GCIS,4.50,1.56,319.95,249,7,27,20.59%,1120.42,4,2014_Fall_W6,BL1,0,6,0,0,1,0,0,71.10
11/13/14,Harris,3.37,1.36,233.44,201,1,14,6.67%,678.37,4,2014_Fall_W6,BL1,0,6,0,0,1,0,0,69.17
11/13/14,Law,3.34,1.36,211.21,363,36,22,62.07%,1214.14,4,2014_Fall_W6,BL1,0,6,0,0,1,0,0,63.15
11/13/14,Stuart,4.76,1.59,324.14,221,8,20,28.57%,1052.9,4,2014_Fall_W6,BL1,0,6,0,0,1,0,0,68.04
11/14/14,GCIS,5.01,1.63,355.94,252,10,28,26.32%,1261.84,5,2014_Fall_W6,BL1,0,6,0,0,0,1,0,71.08
11/14/14,Harris,4.52,1.56,325.10,99,2,13,13.33%,447.69,5,2014_Fall_W6,BL1,0,6,0,0,0,1,0,71.89
11/14/14,Law,3.47,1.34,212.49,247,31,17,64.58%,856.41,5,2014_Fall_W6,BL1,0,6,0,0,0,1,0,61.29
11/14/14,Stuart,4.87,1.54,314.14,134,4,12,25.00%,652.75,5,2014_Fall_W6,BL1,0,6,0,0,0,1,0,64.49
11/17/14,GCIS,4.45,1.51,318.86,241,5,34,12.82%,1072.18,1,2014_Fall_W7,BL1,0,7,0,0,0,0,1,71.67
11/17/14,Harris,4.07,1.46,287.06,176,0,17,0.00%,717.17,1,2014_Fall_W7,BL1,0,7,0,0,0,0,1,70.45
11/17/14,Law,3.23,1.34,205.87,490,50,31,61.73%,1582.82,1,2014_Fall_W7,BL1,0,7,0,0,0,0,1,63.73
11/17/14,Stuart,4.99,1.56,351.52,172,4,10,28.57%,858.04,1,2014_Fall_W7,BL1,0,7,0,0,0,0,1,70.47
